,precipitacao_mm,temp_bulbo_seco_c,temp_max_c,temp_min_c,temp_orvalho_c,temp_orvalho_max_c,temp_orvalho_min_c,umid_pct,umid_max_pct,umid_min_pct,pressao_estacao_mb,pressao_max_mb,pressao_min_mb,radiacao_wm2,vento_vel_ms,vento_rajada_ms,altitude_m,latitude,longitude,ano,mes,dia,hora_utc,uf_cod,regiao_cod,estacao_ano_cod,choveu
precipitacao_mm,1.000000,-0.049643,-0.030015,-0.046307,0.051572,0.054444,0.049142,0.109756,0.103869,0.086042,-0.004289,-0.003749,-0.005016,-0.044190,0.023966,0.103544,0.002337,-0.011644,-0.019937,-0.007426,-0.009946,0.002394,0.016774,0.006451,-0.000259,0.037548,0.417445
temp_bulbo_seco_c,-0.049643,1.000000,0.989302,0.987645,0.421681,0.463236,0.388829,-0.608040,-0.586195,-0.598677,0.317610,0.320160,0.318669,0.239564,0.085302,0.182415,-0.335827,0.460722,0.085687,0.031106,-0.008341,0.000236,0.351239,-0.227409,-0.259977,0.218527,-0.120133
temp_max_c,-0.030015,0.989302,1.000000,0.984969,0.399002,0.442994,0.362710,-0.621035,-0.607368,-0.632664,0.302692,0.305249,0.303679,0.228534,0.091019,0.198368,-0.322026,0.449471,0.084007,0.031728,-0.005542,0.000431,0.379904,-0.223886,-0.255075,0.211322,-0.109230
temp_min_c,-0.046307,0.987645,0.984969,1.000000,0.440000,0.476996,0.411912,-0.575158,-0.576250,-0.574225,0.330192,0.332626,0.331289,0.213918,0.073571,0.171016,-0.350989,0.472428,0.088473,0.030465,-0.011846,0.000834,0.338275,-0.232175,-0.265013,0.226917,-0.111264
temp_orvalho_c,0.051572,0.421681,0.399002,0.440000,1.000000,0.986223,0.985682,0.421267,0.438970,0.402591,0.414347,0.413839,0.413528,-0.009790,-0.178295,-0.161541,-0.429352,0.425429,0.012774,0.016299,-0.162337,0.001907,-0.027768,-0.206097,-0.233360,0.298667,0.097227
temp_orvalho_max_c,0.054444,0.463236,0.442994,0.476996,0.986223,1.000000,0.978491,0.369143,0.403860,0.354818,0.412629,0.412703,0.412186,0.020232,-0.162405,-0.137449,-0.428072,0.426625,0.010837,0.018469,-0.162315,0.001566,0.002454,-0.206976,-0.235637,0.305118,0.093440
temp_orvalho_min_c,0.049142,0.388829,0.362710,0.411912,0.985682,0.978491,1.000000,0.449406,0.466149,0.444983,0.415033,0.414613,0.414431,-0.019041,-0.181097,-0.171731,-0.429251,0.422521,0.013073,0.015615,-0.161012,0.001422,-0.061198,-0.204386,-0.230548,0.293553,0.098787
umid_pct,0.109756,-0.608040,-0.621035,-0.575158,0.421267,0.369143,0.449406,1.000000,0.976170,0.980274,0.047332,0.044496,0.045601,-0.255681,-0.263401,-0.340254,-0.045643,-0.067884,-0.079215,-0.013688,-0.133155,0.000582,-0.384371,0.041083,0.039448,0.050058,0.233154
umid_max_pct,0.103869,-0.586195,-0.607368,-0.576250,0.438970,0.403860,0.466149,0.976170,1.000000,0.969013,0.045661,0.043139,0.044097,-0.226648,-0.255544,-0.332592,-0.042981,-0.069887,-0.085805,-0.013242,-0.137022,0.000685,-0.371147,0.041950,0.037160,0.054486,0.223179
umid_min_pct,0.086042,-0.598677,-0.632664,-0.574225,0.402591,0.354818,0.444983,0.980274,0.969013,1.000000,0.054761,0.052165,0.053365,-0.238179,-0.258930,-0.348015,-0.050750,-0.064035,-0.075355,-0.012711,-0.128277,0.000272,-0.413116,0.040697,0.039645,0.045383,0.213413
