variavel,media,mediana,moda,desvio_padrao,p25,p50,p75
temp_bulbo_seco_c,24.97581622469347,24.4,23.1,3.779714062680523,22.2,24.4,27.7
temp_max_c,25.64780646197213,25.0,23.1,3.9874921252319466,22.6,25.0,28.6
temp_min_c,24.313509125617742,23.8,23.1,3.5454209663377645,21.8,23.8,26.7
temp_orvalho_c,20.04919096335822,20.5,21.4,2.5809061761456777,18.7,20.5,21.9
umid_pct,76.22569131277466,80.0,94.0,17.01048850955004,64.0,80.0,91.0
umid_max_pct,79.36515357642415,84.0,94.0,15.84611187878542,69.0,84.0,92.0
umid_min_pct,72.95866164430949,76.0,92.0,17.957492822312798,59.0,76.0,89.0
pressao_estacao_mb,951.5431776467025,954.7,973.0,31.753298005368325,929.7,954.7,974.4
radiacao_wm2,1383.5406562093674,1170.4,0.0,1182.031656444547,253.2,1170.4,2348.4
vento_vel_ms,1.622007878363951,1.4,0.0,1.43051619143742,0.4,1.4,2.5
altitude_m,469.00915599999996,400.0,19.0,281.7629200985663,275.0,400.0,625.0
